2025-03-27 23:48:53,021 - Node-3 - INFO - Initializing node 3
2025-03-27 23:49:50,661 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:50,669 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:52,678 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:52,697 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:54,696 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:54,706 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:56,709 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:56,717 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:49:58,722 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:49:58,729 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:00,729 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:00,736 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:02,741 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:02,748 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:04,749 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:04,760 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:06,765 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:06,783 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:08,784 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:08,796 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:10,801 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:10,809 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:12,819 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:12,841 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:14,843 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:14,858 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:16,864 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:16,878 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:18,882 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:18,899 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:20,895 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:20,909 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:22,910 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:22,921 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:24,923 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:24,937 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:26,943 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:26,959 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:28,957 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:28,964 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:30,968 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:30,983 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:32,987 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:33,002 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:35,000 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:35,011 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:35,323 - Node-3 - INFO - GET request for key '__leader_check__', state machine has keys: ['color', 'fruit', 'status', '_find_leader', 'temperature', 'car', 'phone', 'horse', 'money', 'ppl', 'a', 'b']
2025-03-27 23:50:35,325 - Node-3 - INFO - GET request for key 'a', state machine has keys: ['color', 'fruit', 'status', '_find_leader', 'temperature', 'car', 'phone', 'horse', 'money', 'ppl', 'a', 'b']
2025-03-27 23:50:37,012 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:37,020 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:39,025 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:39,039 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:41,036 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:41,046 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:43,050 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:43,057 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:45,059 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:45,067 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:47,074 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:47,083 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:49,083 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:49,089 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:51,091 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:51,097 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:53,099 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:53,104 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:55,113 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:55,121 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:57,140 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:57,146 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:50:59,150 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:50:59,155 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:01,166 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:01,179 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:03,180 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:03,186 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:05,187 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:05,196 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:07,201 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:07,212 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:09,214 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:09,219 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:11,223 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:11,231 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:13,231 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:13,236 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:14,829 - Node-3 - INFO - Starting election for term 1305
2025-03-27 23:51:15,241 - Node-3 - INFO - Node status requested, reporting state: NodeState.CANDIDATE
2025-03-27 23:51:15,247 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:15,409 - Node-3 - INFO - Starting election for term 1306
2025-03-27 23:51:15,936 - Node-3 - INFO - Starting election for term 1307
2025-03-27 23:51:16,164 - Node-3 - INFO - Starting election for term 1308
2025-03-27 23:51:16,423 - Node-3 - INFO - Granted vote to node 4 for term 1309
2025-03-27 23:51:16,703 - Node-3 - INFO - Granted vote to node 4 for term 1310
2025-03-27 23:51:16,877 - Node-3 - INFO - Granted vote to node 4 for term 1311
2025-03-27 23:51:17,150 - Node-3 - INFO - Granted vote to node 4 for term 1312
2025-03-27 23:51:17,249 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:17,252 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.FOLLOWER
2025-03-27 23:51:17,259 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:17,478 - Node-3 - INFO - Granted vote to node 4 for term 1313
2025-03-27 23:51:17,760 - Node-3 - INFO - Granted vote to node 4 for term 1314
2025-03-27 23:51:18,035 - Node-3 - INFO - Granted vote to node 4 for term 1315
2025-03-27 23:51:18,291 - Node-3 - INFO - Granted vote to node 4 for term 1316
2025-03-27 23:51:18,617 - Node-3 - INFO - Granted vote to node 4 for term 1317
2025-03-27 23:51:18,899 - Node-3 - INFO - Granted vote to node 4 for term 1318
2025-03-27 23:51:19,087 - Node-3 - INFO - Granted vote to node 4 for term 1319
2025-03-27 23:51:19,263 - Node-3 - INFO - Node status requested, reporting state: NodeState.FOLLOWER
2025-03-27 23:51:19,294 - Node-3 - WARNING - Cluster status requested but node is not leader, state: NodeState.FOLLOWER
2025-03-27 23:51:19,305 - Node-3 - INFO - Health check requested, reporting status: 1
2025-03-27 23:51:19,360 - Node-3 - INFO - Granted vote to node 4 for term 1320
2025-03-27 23:51:19,586 - Node-3 - INFO - Granted vote to node 4 for term 1321
2025-03-27 23:51:19,755 - Node-3 - INFO - Granted vote to node 4 for term 1322
2025-03-27 23:51:20,063 - Node-3 - INFO - Starting election for term 1323
2025-03-27 23:51:20,105 - Node-3 - INFO - GET request for key 'a', state machine has keys: ['color', 'fruit', 'status', '_find_leader', 'temperature', 'car', 'phone', 'horse', 'money', 'ppl', 'a', 'b']
2025-03-27 23:51:20,295 - Node-3 - INFO - Starting election for term 1324
2025-03-27 23:51:20,576 - Node-3 - INFO - Starting election for term 1325
2025-03-27 23:51:20,799 - Node-3 - INFO - Starting election for term 1326
2025-03-27 23:51:21,088 - Node-3 - INFO - Granted vote to node 4 for term 1327
2025-03-27 23:51:21,316 - Node-3 - INFO - Granted vote to node 4 for term 1328
